OTU	KW_Statistic	DF	P_value	Test	Taxonomy	p.value.fdr	p.value.hochberg	p.value.bonferonni
Zotu370	6.04504125376836	5	0.301860852624662	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Family_XIII	0.63728950406742	0.63728950406742	1
Zotu371	5.92339925281638	5	0.31374402053008	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.644824887516855	0.644824887516855	1
Zotu372	6.53591160220993	5	0.257504691943625	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.592877285523162	0.592877285523162	1
Zotu373	5.15987855390676	5	0.396681810688742	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.700595107702593	0.700595107702593	1
Zotu374	6.84356616534317	5	0.232536885841419	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:uncultured,s:uncultured_bacterium	0.56602575136465	0.56602575136465	1
Zotu375	14.6317637528164	5	0.0120572689826011	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.217468403016493	0.217468403016493	1
Zotu376	1.97515938371626	5	0.852571428039512	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.9001884492864	0.9001884492864	1
Zotu377	8.46986990605343	5	0.132171045958406	Kruskal-Wallis rank sum test	k:Bacteria,p:Tenericutes,c:Mollicutes,o:Mollicutes_RF39	0.45968847393926	0.45968847393926	1
Zotu378	13.6380779511632	5	0.018079427435209	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.239251089725932	0.239251089725932	1
Zotu379	8.2729906819616	5	0.141818492481196	Kruskal-Wallis rank sum test	k:Bacteria	0.473125558949872	0.473125558949872	1
Zotu38	7.32455931867699	5	0.197599607254598	Kruskal-Wallis rank sum test	k:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Muribaculaceae	0.533653361088948	0.533653361088948	1
Zotu380	8.29869264022287	5	0.14052425709693	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.472780763283739	0.472780763283739	1
Zotu381	3.96374658691977	5	0.55464730616953	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.740456289432918	0.740456289432918	1
Zotu382	2.01312717852441	5	0.84732567510591	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales	0.899180353411346	0.899180353411346	1
Zotu383	3.76008315014815	5	0.584448633070344	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus	0.74295147590977	0.74295147590977	1
Zotu384	17.9746828457109	5	0.00297830193495558	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Christensenellaceae,g:uncultured,s:uncultured_bacterium	0.180297642144132	0.180297642144132	1
Zotu385	5.79226618120344	5	0.326959995028359	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.657786071079013	0.657786071079013	1
Zotu386	9.76844123242976	5	0.0820686204282305	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.371649151825181	0.371649151825181	1
Zotu387	12.2660956684517	5	0.0313180795763369	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.260837991436484	0.260837991436484	1
Zotu388	5.91133133942944	5	0.314942619956849	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae	0.644824887516855	0.644824887516855	1
Zotu389	5.94623946302932	5	0.311485257397339	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Family_XIII,g:Family_XIII_UCG_001,s:uncultured_bacterium	0.644824887516855	0.644824887516855	1
Zotu39	4.34323544664852	5	0.501127802762772	Kruskal-Wallis rank sum test	k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae	0.717370788862596	0.717370788862596	1
